Unnamed: 0,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL,Embedded_text_1,links,links_title,conteo_links,hashtags,conteo_hashtags,menciones,conteo_menciones,emojis,conteo_emojis,RT,conteo_RT,sentiment,sentiment_score
206,Silvio Ramirez V,@silvioravel,2021-12-04T00:00:20.000Z,"Silvio Ramirez V
@silvioravel
·
3 dic.","En respuesta a 
@sortegarango
Eso sólo prueba que estás en el lugar equivocado. ve a la casita roja de Davivienda
1
2",,1.0,,2,[],https://twitter.com/silvioravel/status/1466920269348495360,En respuesta a  @sortegarango Eso sólo prueba que estás en el lugar equivocado. ve a la casita roja de Davivienda  ,[],,0,[],0,['@sortegarango'],1,[],0,[],0,1 star,0.595374584197998
207,arturo lobo-guerrero,@arturoloboguer,2021-12-04T19:24:48.000Z,"arturo lobo-guerrero
@arturoloboguer
·
4 dic.","En respuesta a 
@KT_Leal
 y 
@Davivienda
Huy que es ese tipo abuso de. 
@Davivienda
 con sus clientes tener. 43. minutos sin que los atienda en debida. forma. CC. 
@SFCsupervisor",,,,,[],https://twitter.com/arturoloboguer/status/1467213317169205250,En respuesta a  @KT_Leal y  @Davivienda Huy que es ese tipo abuso de.  @Davivienda con sus clientes tener. 43. minutos sin que los atienda en debida. forma. CC.  @SFCsupervisor,[],,0,[],0,"['@kt_leal', '@davivienda', '@davivienda', '@sfcsupervisor']",4,[],0,[],0,1 star,0.790960967540741
208,Julio Orozco,@julioorozco29,2021-12-04T19:59:24.000Z,"Julio Orozco
@julioorozco29
·
4 dic.","@MovistarCo
 @DaviPlata
 @Davivienda
 @Falabella_co
 @MovistarCo
 @Alkosto
 @ClaroTeAyuda
 @ClaroColombia
 no quiero recibir ningún mensaje de oferta ni absolutamente nada de ustedes. Respeten y dejen de ser abusivos. Que tengo que hacer?
3",,3.0,,,[],https://twitter.com/julioorozco29/status/1467222022631706626,@MovistarCo @DaviPlata @Davivienda @Falabella_co @MovistarCo @Alkosto @ClaroTeAyuda @ClaroColombia no quiero recibir ningún mensaje de oferta ni absolutamente nada de ustedes. Respeten y dejen de ser abusivos. Que tengo que hacer? ,[],,0,[],0,"['@movistarco', '@daviplata', '@davivienda', '@falabella_co', '@movistarco', '@alkosto', '@claroteayuda', '@clarocolombia']",8,[],0,[],0,1 star,0.9379993677139282
209,Ana María Ortiz,@anamarialao,2021-12-04T14:46:32.000Z,"Ana María Ortiz
@Anamarialao
·
4 dic.","En respuesta a 
@Davivienda
 desde ayer estoy intentando comunicarme a la línea del teléfono rojo y no ha sido posible, el menú solo anuncia una opción y no es la que me lleva a contactar a un asesor ¡Ayuda! 
@Davivienda
 @sicsuper
 @SFCsupervisor
1",🆘 🆘 🆘,1.0,,,[],https://twitter.com/Anamarialao/status/1467143286053814275,"En respuesta a  @Davivienda desde ayer estoy intentando comunicarme a la línea del teléfono rojo y no ha sido posible, el menú solo anuncia una opción y no es la que me lleva a contactar a un asesor ¡Ayuda!  @Davivienda @sicsuper @SFCsupervisor ",[],,0,[],0,"['@davivienda', '@davivienda', '@sicsuper', '@sfcsupervisor']",4,[],0,[],0,1 star,0.7507134675979614
210,noriclago,@noriclago,2021-12-04T04:17:12.000Z,"noriclago
@noriclago
·
3 dic.","@RappiPay
 @Davivienda
 @DaviPlata
 he radicado derecho de petición para que respondan por mi dinero.
Con copia a la super financiera, Atención Defensor del Consumidor Financiero, súper de industria y comercio área de habeas data.
Junto con los denuncios en fiscalía y policía.
1",,1.0,,,[],https://twitter.com/noriclago/status/1466984909923401728,"@RappiPay @Davivienda @DaviPlata he radicado derecho de petición para que respondan por mi dinero. Con copia a la super financiera, Atención Defensor del Consumidor Financiero, súper de industria y comercio área de habeas data. Junto con los denuncios en fiscalía y policía. ",[],,0,[],0,"['@rappipay', '@davivienda', '@daviplata']",3,[],0,[],0,1 star,0.345399409532547
211,Douglas Calderón,@dougdav,2021-12-04T18:10:57.000Z,"Douglas Calderón
@dougdav
·
4 dic.","Por cierto, si tienen que ir a la oficina de 
@Davivienda
 en el #CCPuertadelNorte sepan que están necesitando #DirectorGeneral porque lo que tienen es un #Payaso que sirve pa'menos que nada
#bancosladrones
1",,1.0,,,[],https://twitter.com/dougdav/status/1467194729674723339,"Por cierto, si tienen que ir a la oficina de  @Davivienda en el #CCPuertadelNorte sepan que están necesitando #DirectorGeneral porque lo que tienen es un #Payaso que sirve pa'menos que nada #bancosladrones ",[],,0,"['#CCPuertadelNorte', '#DirectorGeneral', '#Payaso', '#bancosladrones']",4,['@davivienda'],1,[],0,[],0,3 stars,0.3503150939941406
212,Luisa,@luisaciro,2021-12-04T01:09:45.000Z,"Luisa
@luisaciro
·
3 dic.","En respuesta a 
@Davivienda
Miren las decenas de publicaciones en Twitter. La app de Davivienda lleva días sin funcionar. Y llamé al teléfono rojo por una solicitud que hice ayer y me dijeron que me la habían enviado a otro teléfono ¿cómo, si no tengo más?
1",,1.0,,,[],https://twitter.com/luisaciro/status/1466937736254873605,"En respuesta a  @Davivienda Miren las decenas de publicaciones en Twitter. La app de Davivienda lleva días sin funcionar. Y llamé al teléfono rojo por una solicitud que hice ayer y me dijeron que me la habían enviado a otro teléfono ¿cómo, si no tengo más? ",[],,0,[],0,['@davivienda'],1,[],0,[],0,1 star,0.8380169868469238
213,Falabella Colombia,@falabella_co,2021-12-04T20:33:41.000Z,"Falabella Colombia
@Falabella_co
·
4 dic.","Respondiendo a 
@julioorozco29
 @MovistarCo
 y 5 más
Hola Julio, lamentamos las molestias, para ayudarte indícanos por Mensaje Directo tu caso y los siguientes datos: Nombre completo, cédula y celular. Estaremos atentos.
1",,1.0,,,[],https://twitter.com/Falabella_co/status/1467230648565997573,"Respondiendo a  @julioorozco29 @MovistarCo y 5 más Hola Julio, lamentamos las molestias, para ayudarte indícanos por Mensaje Directo tu caso y los siguientes datos: Nombre completo, cédula y celular. Estaremos atentos. ",[],,0,[],0,"['@julioorozco29', '@movistarco']",2,[],0,[],0,1 star,0.435260146856308
214,@SSF_ElSalvador,@ssf_elsalvador,2021-12-04T18:18:59.000Z,"@SSF_ElSalvador
@SSF_ElSalvador
·
4 dic.","Respondiendo a 
@Juanper62225640
 @MaribelVasquezJ
 y 4 más
Hola, Juan. Para apoyarte con tu inconveniente, contáctate con nosotros a través de los siguientes medios y te brindaremos la orientación que necesitas. 
 2999-9999
 atencionalusuario@ssf.gob.sv
WhatsApp: 7840-9741",☎ ✉,,,,[],https://twitter.com/SSF_ElSalvador/status/1467196751878762500,"Respondiendo a  @Juanper62225640 @MaribelVasquezJ y 4 más Hola, Juan. Para apoyarte con tu inconveniente, contáctate con nosotros a través de los siguientes medios y te brindaremos la orientación que necesitas.  -9999 atencionalusuario@ssf.gob.sv WhatsApp: 7840-9741",[],,0,[],0,"['@juanper62225640', '@maribelvasquezj', '@ssfgobsv']",3,[],0,[],0,5 stars,0.3042747378349304
215,Banco Davivienda,@davivienda,2021-12-04T22:45:31.000Z,"Banco Davivienda
@Davivienda
·
4 dic.","En respuesta a 
@D1egoMoreno
Buenas tardes, Sr. Diego. Trabajamos continuamente para mejorar su experiencia. Para nosotros es importante brindar acompañamiento a su caso por favor contáctenos por mensaje privado para que le podamos ayudar. Quedamos atentos.",,,,,[],https://twitter.com/Davivienda/status/1467263825917345793,"En respuesta a  @D1egoMoreno Buenas tardes, Sr. Diego. Trabajamos continuamente para mejorar su experiencia. Para nosotros es importante brindar acompañamiento a su caso por favor contáctenos por mensaje privado para que le podamos ayudar. Quedamos atentos.",[],,0,[],0,['@d1egomoreno'],1,[],0,[],0,4 stars,0.47750547528266907
216,Julio Orozco,@julioorozco29,2021-12-04T20:35:29.000Z,"Julio Orozco
@julioorozco29
·
4 dic.","Respondiendo a 
@Falabella_co
 @MovistarCo
 y 5 más
ya hice eso desde el dia jueves y se quedaron en comunicar conmigo ayer al medio dia. todavia estoy esperando solución.",,,,,[],https://twitter.com/julioorozco29/status/1467231102083477505,Respondiendo a  @Falabella_co @MovistarCo y 5 más ya hice eso desde el dia jueves y se quedaron en comunicar conmigo ayer al medio dia. todavia estoy esperando solución.,[],,0,[],0,"['@falabella_co', '@movistarco']",2,[],0,[],0,4 stars,0.25227153301239014
217,morat archives,@moratarchive,2021-12-05T22:32:00.000Z,"morat archives
@moratarchive
·
5 dic.","– Hoy hace un año. 
¡Morat presentaba el concierto Davivienda de Navidad 2020, junto con la Filarmónica Joven de Colombia!
19
89",,,19,89,['https://pbs.twimg.com/ext_tw_video_thumb/1467622597278023689/pu/img/WLDrlefgCa2_Izhx.jpg'],https://twitter.com/moratarchive/status/1467622813867466754,"– Hoy hace un año.  ¡Morat presentaba el concierto Davivienda de Navidad 2020, junto con la Filarmónica Joven de Colombia!  ",[],,0,[],0,[],0,[],0,[],0,5 stars,0.49507299065589905
218,Richard,@ricardo_asz,2021-12-05T19:59:44.000Z,"Richard
@Ricardo_ASZ
·
5 dic.","Algunas de las pinturas de la exposición de Davivienda en redondel Beethoven
1",,1.0,,,"['https://pbs.twimg.com/media/FF3oS_TXEAA8RGJ?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FF3oT01XwAEDRUY?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FF3oTYzWUAAehp-?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FF3oUS6X0Akr4Su?format=jpg&name=360x360']",https://twitter.com/Ricardo_ASZ/status/1467584492588384256,Algunas de las pinturas de la exposición de Davivienda en redondel Beethoven ,[],,0,[],0,[],0,[],0,[],0,4 stars,0.3267980217933655
219,Nicolás.,@nicocardenas_,2021-12-05T18:43:43.000Z,"Nicolás.
@nicocardenas_
·
5 dic.","como davivienda, en el lugar equivocado
1",,,,1,[],https://twitter.com/nicocardenas_/status/1467565364083142663,"como davivienda, en el lugar equivocado ",[],,0,[],0,[],0,[],0,[],0,5 stars,0.2549961507320404
220,ᴾⁱᵖᵉ ᴮᵉᶜᵉʳʳᵃ,@pipebecerra1,2021-12-05T01:14:33.000Z,"ᴾⁱᵖᵉ ᴮᵉᶜᵉʳʳᵃ
@Pipebecerra1
·
4 dic.","Otra vez. Cajeros de 
@Davivienda
 de la Pasoancho con 43, en Cali. Sin servicio en pleno sábado.  
@telefonorojo
4
4
2",😵,4.0,4,2,['https://pbs.twimg.com/media/FFzmx6LWYAIVPMC?format=jpg&name=small'],https://twitter.com/Pipebecerra1/status/1467301332214292486,"Otra vez. Cajeros de  @Davivienda de la Pasoancho con 43, en Cali. Sin servicio en pleno sábado.   @telefonorojo   ",[],,0,[],0,"['@davivienda', '@telefonorojo']",2,[],0,[],0,1 star,0.8170927166938782
221,John Cortes Bot,@jcortes1967,2021-12-05T22:24:38.000Z,"John Cortes Bot
@jcortes1967
·
5 dic.","En respuesta a 
@jcortes1967
 y 
@SebastianNohra
Bogotá es el grande, la locomotora y es banco empresarial, compite con Bancolombia y Davivienda.

Pero don Luis Carlos no es solo banca, es un gran emprendedor y sabe que hacer con la plata.

La constructora con Corficolombiana, Agroindustria con Pajonales, Hoteles Estelar
1",,,,1,[],https://twitter.com/jcortes1967/status/1467620959431630854,"En respuesta a  @jcortes1967 y  @SebastianNohra Bogotá es el grande, la locomotora y es banco empresarial, compite con Bancolombia y Davivienda.  Pero don Luis Carlos no es solo banca, es un gran emprendedor y sabe que hacer con la plata.  La constructora con Corficolombiana, Agroindustria con Pajonales, Hoteles Estelar ",[],,0,[],0,"['@jcortes1967', '@sebastiannohra']",2,[],0,[],0,5 stars,0.34425127506256104
222,LDV,@valenj0301,2021-12-05T04:03:29.000Z,"LDV
@Valenj0301
·
4 dic.","Triplehijueputa cajero de 
@Davivienda
 me acaba de robar, me débito la plata y el cajero no me la dio, ahí quien me responde?
1",🩺,1.0,,,[],https://twitter.com/Valenj0301/status/1467343846057123842,"Triplehijueputa cajero de  @Davivienda me acaba de robar, me débito la plata y el cajero no me la dio, ahí quien me responde? ",[],,0,[],0,['@davivienda'],1,[],0,[],0,1 star,0.8025984168052673
223,Sonia Martínez,@sonia_martinezr,2021-12-05T00:18:48.000Z,"Sonia Martínez
@Sonia_martinezr
·
4 dic.","En respuesta a 
@Sebasma91
Sólo tengo Nequi, daviplata y Davivienda :(
1",,1.0,,,[],https://twitter.com/Sonia_martinezr/status/1467287301973757956,"En respuesta a  @Sebasma91 Sólo tengo Nequi, daviplata y Davivienda :( ",[],,0,[],0,['@sebasma91'],1,[],0,[],0,1 star,0.31295138597488403
224,Mojojo jo,@majo27794550,2021-12-05T23:43:10.000Z,"Mojojo jo
@majo27794550
·
5 dic.","Está difícil eso de que cada vez que entras a ver tu cuenta 
@Davivienda
  disminuye tu saldo sin hacer una transacción, cuando ya te cobraron en septiembre la comicion de recargo.
1
1",,1.0,,1,[],https://twitter.com/majo27794550/status/1467640722400718853,"Está difícil eso de que cada vez que entras a ver tu cuenta  @Davivienda disminuye tu saldo sin hacer una transacción, cuando ya te cobraron en septiembre la comicion de recargo.  ",[],,0,[],0,['@davivienda'],1,[],0,[],0,2 stars,0.43140068650245667
225,Gilbert,@gilbert3429,2021-12-05T03:24:14.000Z,"Gilbert
@Gilbert3429
·
4 dic.","La gente está cansada del terrorista 
@petrogustavo
 engaña bobos y por eso en San Gil le dieron en la jeta, ojalá se siga replicando a nivel nacional y demostrarle que nadie lo quiere, que el solo quiere destruir al pais, 
@PalmaEdwin
 eres buen Dirigente pero estas como Davivienda",,,,,[],https://twitter.com/Gilbert3429/status/1467333968685064197,"La gente está cansada del terrorista  @petrogustavo engaña bobos y por eso en San Gil le dieron en la jeta, ojalá se siga replicando a nivel nacional y demostrarle que nadie lo quiere, que el solo quiere destruir al pais,  @PalmaEdwin eres buen Dirigente pero estas como Davivienda",[],,0,[],0,"['@petrogustavo', '@palmaedwin']",2,[],0,[],0,1 star,0.766907274723053
226,armando moreno,@amoreno_s,2021-12-05T13:15:31.000Z,"armando moreno
@amoreno_s
·
5 dic.","Los cajeros de 
@Davivienda
 en Ibagué t inservibles. Qué hacen los gerentes de esas entidades que no se inmutan ante la urgencia de dinero? Entretanto la gente recurre a los de las otras entidades para que le asalten el bolsillo!
1",,1.0,,,[],https://twitter.com/amoreno_s/status/1467482771601903619,Los cajeros de  @Davivienda en Ibagué t inservibles. Qué hacen los gerentes de esas entidades que no se inmutan ante la urgencia de dinero? Entretanto la gente recurre a los de las otras entidades para que le asalten el bolsillo! ,[],,0,[],0,['@davivienda'],1,[],0,[],0,1 star,0.7610642910003662
227,Ramses,@scar28543651,2021-12-05T23:33:50.000Z,"Ramses
@scar28543651
·
5 dic.","En respuesta a 
@pulzo
Ése hp habla mierda, con esos bancos Davivienda que son de éste señor cuánto no roba o cuánto no tendrá comprado amigos del gobierno",,,,,[],https://twitter.com/scar28543651/status/1467638372525039623,"En respuesta a  @pulzo Ése hp habla mierda, con esos bancos Davivienda que son de éste señor cuánto no roba o cuánto no tendrá comprado amigos del gobierno",[],,0,[],0,['@pulzo'],1,[],0,[],0,1 star,0.8429534435272217
228,J A I R O - H U R T A D O,@jairohurtadoa,2021-12-05T19:21:47.000Z,"J A I R O - H U R T A D O
@jairohurtadoa
·
5 dic.","@kfccolombia
 son unos hijos de puta,hice una compra por valor de 70.800 y me la cargaron ellos por error dos veces a mi cuenta de 
@Davivienda
 y no me devuelven el dinero, ahira se hacen los locos para responder en único de Cali y estoy de paseo, 
@sicsuper
 ayuda por favor
1
1",,1.0,,1,[],https://twitter.com/jairohurtadoa/status/1467574945123381248,"@kfccolombia son unos hijos de puta,hice una compra por valor de 70.800 y me la cargaron ellos por error dos veces a mi cuenta de  @Davivienda y no me devuelven el dinero, ahira se hacen los locos para responder en único de Cali y estoy de paseo,  @sicsuper ayuda por favor  ",[],,0,[],0,"['@kfccolombia', '@davivienda', '@sicsuper']",3,[],0,[],0,1 star,0.7629692554473877
229,Miguel Manzanares López,@miguelm27421018,2021-12-05T17:52:11.000Z,"Miguel Manzanares López
@MiguelM27421018
·
5 dic.","En respuesta a 
@subirath
 y 
@LineaUribista07
Como cada jefe toma sus propias decisiones en su entorno, esta,sra esta como la publicidad de davivienda, en el lugar equivocado.",,,,,[],https://twitter.com/MiguelM27421018/status/1467552396293378059,"En respuesta a  @subirath y  @LineaUribista07 Como cada jefe toma sus propias decisiones en su entorno, esta,sra esta como la publicidad de davivienda, en el lugar equivocado.",[],,0,[],0,"['@subirath', '@lineauribista07']",2,[],0,[],0,1 star,0.2832728624343872
230,Deiby Fandiño,@deibyfandino,2021-12-05T22:28:53.000Z,"Deiby Fandiño
@deibyfandino
·
5 dic.","@Davivienda
 Que pésimo servicio el de los cajeros de Davivienda, los cajeros del minuto d Dios, Quirigua y titán dañados , imposible sacar plata .
1",,1.0,,,[],https://twitter.com/deibyfandino/status/1467622028995969026,"@Davivienda Que pésimo servicio el de los cajeros de Davivienda, los cajeros del minuto d Dios, Quirigua y titán dañados , imposible sacar plata . ",[],,0,[],0,['@davivienda'],1,[],0,[],0,1 star,0.9090513586997986
231,Kikerivas,@kikeriv70865382,2021-12-05T21:15:58.000Z,"Kikerivas
@Kikeriv70865382
·
5 dic.","@HenryFloresST
 Por favor alcalde venga a poner orden por medio del 
@CAMdeSantaTecla
 y la 
@SantaTeclaSV
 frente al banco Davivienda, estos vendedores están reventando cohetes habiendo viviendas y adultos mayores que no pueden estar tranquilos, además en la bodega de tienda godo",,,,,[],https://twitter.com/Kikeriv70865382/status/1467603681071804417,"@HenryFloresST Por favor alcalde venga a poner orden por medio del  @CAMdeSantaTecla y la  @SantaTeclaSV frente al banco Davivienda, estos vendedores están reventando cohetes habiendo viviendas y adultos mayores que no pueden estar tranquilos, además en la bodega de tienda godo",[],,0,[],0,"['@henryfloresst', '@camdesantatecla', '@santateclasv']",3,[],0,[],0,1 star,0.5230743288993835
232,Jose Ivan (Vanuysha),@hypnus1003,2021-12-05T15:47:53.000Z,"Jose Ivan (Vanuysha)
@hypnus1003
·
5 dic.","Y ahora la asesora de 
@Davivienda
 me comunica con otra área,  ya van 14 minutos 
1",🙃,1.0,,,[],https://twitter.com/hypnus1003/status/1467521116084346880,"Y ahora la asesora de  @Davivienda me comunica con otra área,  ya van 14 minutos  ",[],,0,[],0,['@davivienda'],1,[],0,[],0,1 star,0.52132648229599
233,@easy_consulteam. שם דניאל,@easy_consulteam,2021-12-05T17:55:42.000Z,"@easy_consulteam. שם דניאל
@EConsulteam
·
5 dic.","@Davivienda
 buenos dias, nuevamente mi cuenta está siendo bloqueada para transferencias, y no responden asesores x telefono rojo
1",,1.0,,,[],https://twitter.com/EConsulteam/status/1467553280964321289,"@Davivienda buenos dias, nuevamente mi cuenta está siendo bloqueada para transferencias, y no responden asesores x telefono rojo ",[],,0,[],0,['@davivienda'],1,[],0,[],0,1 star,0.7165238261222839
234,@Gray,@gray,2021-12-05T14:00:18.000Z,"@Gray
@Gray36682540
·
5 dic.","En respuesta a 
@hsaenzm
 y 
@FenixUlloaVP
Abogado fracasado,y perdedor,
49 MILLONES DE DÓLARES tendrá que pagar el BANCO DAVIVIENDA
al Sr Salaberria les guste o no.
Abogado Inútil, laderas tanto por tu fracaso, frustración, amargura.
Notas te has quedado a ser un cascarón o basura de abogado.",,,,,[],https://twitter.com/Gray36682540/status/1467494037963911168,"En respuesta a  @hsaenzm y  @FenixUlloaVP Abogado fracasado,y perdedor, MILLONES DE DÓLARES tendrá que pagar el BANCO DAVIVIENDA al Sr Salaberria les guste o no. Abogado Inútil, laderas tanto por tu fracaso, frustración, amargura. Notas te has quedado a ser un cascarón o basura de abogado.",[],,0,[],0,"['@hsaenzm', '@fenixulloavp']",2,[],0,[],0,1 star,0.9269480109214783
235,Jose Ivan (Vanuysha),@hypnus1003,2021-12-05T15:43:41.000Z,"Jose Ivan (Vanuysha)
@hypnus1003
·
5 dic.","@Davivienda
 8 minutos esperando en una llamada desde el exterior que no sale nada económica, para que me dejen nuevamente en espera 
2",😡,2.0,,,[],https://twitter.com/hypnus1003/status/1467520057060302848,"@Davivienda minutos esperando en una llamada desde el exterior que no sale nada económica, para que me dejen nuevamente en espera  ",[],,0,[],0,['@davivienda'],1,[],0,[],0,1 star,0.6491696834564209
236,Gina Hoyos Marin,@ginahoyosmarin1,2021-12-05T16:22:11.000Z,"Gina Hoyos Marin
@GinaHoyosMarin1
·
5 dic.","@Davivienda
 señores ayuda para bloquear el daviplata 3168366289 del sr Luis Alexander martinez turriago esta estafando la gente y no me parece que la respuesta de ustedes sea que por no hacerse la transferencia desde otro daviplata no pueden hacer nada 
@SFCsupervisor
 @sicsuper
1",,1.0,,,[],https://twitter.com/GinaHoyosMarin1/status/1467529747223691267,@Davivienda señores ayuda para bloquear el daviplata 3168366289 del sr Luis Alexander martinez turriago esta estafando la gente y no me parece que la respuesta de ustedes sea que por no hacerse la transferencia desde otro daviplata no pueden hacer nada  @SFCsupervisor @sicsuper ,[],,0,[],0,"['@davivienda', '@sfcsupervisor', '@sicsuper']",3,[],0,[],0,1 star,0.6025186777114868
237,John Valencia,@johnsonmtb,2021-12-05T23:12:31.000Z,"John Valencia
@johnsonmtb
·
5 dic.","@Superservicios
 @BancoRepublica
 @sicsuper
 @SFCsupervisor
 @DaviPlata
 de 
@Davivienda
 me envían un correo, según ellos dicen que en conversación telefónica les asegure ya solucionaron mi inconveniente, así engañan a las entidades y a las personas, a mi no me han solucionado nada
John Valencia
@johnsonmtb
 · 5 dic.
@Superservicios @BancoRepublica @sicsuper @sicsuper @DaviPlata de @ Davivienda nada que me solucionan inconveniente con dinero que tengo en app @DaviPlata hoy me llamaron a decirme que me iban a contactar para una actualización de clave que no es el problema que tengo. continúo.. twitter.com/johnsonmtb/sta…",,,,,['https://pbs.twimg.com/profile_images/1272563651447267328/sMXHBA3-_mini.jpg'],https://twitter.com/johnsonmtb/status/1467633008953933838,"@Superservicios @BancoRepublica @sicsuper @SFCsupervisor @DaviPlata de  @Davivienda me envían un correo, según ellos dicen que en conversación telefónica les asegure ya solucionaron mi inconveniente, así engañan a las entidades y a las personas, a mi no me han solucionado nada John Valencia @johnsonmtb · 5 dic. @Superservicios @BancoRepublica @sicsuper @sicsuper @DaviPlata de @ Davivienda nada que me solucionan inconveniente con dinero que tengo en app @DaviPlata hoy me llamaron a decirme que me iban a contactar para una actualización de clave que no es el problema que tengo. continúo.. twitter.com/johnsonmtb/sta…",[],,0,[],0,"['@superservicios', '@bancorepublica', '@sicsuper', '@sfcsupervisor', '@daviplata', '@davivienda', '@johnsonmtb', '@superservicios', '@bancorepublica', '@sicsuper', '@sicsuper', '@daviplata', '@daviplata']",13,[],0,[],0,1 star,0.6375121474266052
238,John Valencia,@johnsonmtb,2021-12-05T23:06:41.000Z,"John Valencia
@johnsonmtb
·
5 dic.","@Superservicios
 @BancoRepublica
 @sicsuper
 @sicsuper
 @DaviPlata
 de @ Davivienda nada que me solucionan inconveniente con dinero que tengo en app 
@DaviPlata
 hoy me llamaron a decirme que me iban a contactar para una actualización de clave que no es el problema que tengo. continúo..
John Valencia
@johnsonmtb
 · 4 dic.
ya 8 días tratando de recuperar el dinero que tengo en @DaviPlata @Davivienda y ninguno da respuesta, o solución a esto @Superservicios @sicsuper @SFCsupervisor @BancoRepublica como hago para recuperar el dinero, muchas gracias. twitter.com/johnsonmtb/sta…
1
1
1",,1.0,1,1,['https://pbs.twimg.com/profile_images/1272563651447267328/sMXHBA3-_mini.jpg'],https://twitter.com/johnsonmtb/status/1467631542654623746,"@Superservicios @BancoRepublica @sicsuper @sicsuper @DaviPlata de @ Davivienda nada que me solucionan inconveniente con dinero que tengo en app  @DaviPlata hoy me llamaron a decirme que me iban a contactar para una actualización de clave que no es el problema que tengo. continúo.. John Valencia @johnsonmtb · 4 dic. ya 8 días tratando de recuperar el dinero que tengo en @DaviPlata @Davivienda y ninguno da respuesta, o solución a esto @Superservicios @sicsuper @SFCsupervisor @BancoRepublica como hago para recuperar el dinero, muchas gracias. twitter.com/johnsonmtb/sta…   ",[],,0,[],0,"['@superservicios', '@bancorepublica', '@sicsuper', '@sicsuper', '@daviplata', '@daviplata', '@johnsonmtb', '@daviplata', '@davivienda', '@superservicios', '@sicsuper', '@sfcsupervisor', '@bancorepublica']",13,[],0,[],0,1 star,0.6229984760284424
239,Manuel Vásquez R.,@manuelvasquez_1,2021-12-05T21:58:02.000Z,"Manuel Vásquez R.
@ManuelVasquez_1
·
5 dic.","@Davivienda
 debe empezar a depurar sus aplicaciones móviles, la  App Davivienda cuando uno desea crear una cuenta no puede avanzar cuando llega a la foto biométrica de las huellas y 
@DaviPlata
 te envía código de cambio, al número que ya no tienes. Me dañaron la #Navidad2021 
1",😞,1.0,,,[],https://twitter.com/ManuelVasquez_1/status/1467614264785575939,"@Davivienda debe empezar a depurar sus aplicaciones móviles, la  App Davivienda cuando uno desea crear una cuenta no puede avanzar cuando llega a la foto biométrica de las huellas y  @DaviPlata te envía código de cambio, al número que ya no tienes. Me dañaron la #Navidad2021  ",[],,0,['#Navidad2021'],1,"['@davivienda', '@daviplata']",2,[],0,[],0,1 star,0.7361134886741638
240,Xiomara Torrado Ʒɔ̐,@xiotorrado,2021-12-05T12:52:46.000Z,"Xiomara Torrado Ʒɔ̐
@XioTorrado
·
5 dic.","Respondiendo a 
@XioTorrado
 @GabrielaTafur
 y 2 más
Y 
@Davivienda
 donde ni tengo cuenta ",,,,,[],https://twitter.com/XioTorrado/status/1467477045072605185,Respondiendo a  @XioTorrado @GabrielaTafur y 2 más Y  @Davivienda donde ni tengo cuenta ,[],,0,[],0,"['@xiotorrado', '@gabrielatafur', '@davivienda']",3,[],0,[],0,1 star,0.6585608124732971
241,Amando Colombia,@jjaramilloblt,2021-12-05T01:17:06.000Z,"Amando Colombia
@jjaramilloblt
·
4 dic.","@Davivienda
 llamando un sábado a las 08:12 pm es una falta de respeto, 
@Asobancaria
 @DefensoriaCol
 @CGR_Colombia
 creo q independiente de lo que se deba, al menos deben guardar un respeto mínimo al descanso de la gente, o será que tienen bancos abiertos a esta hora para abonarles?
1
1",🦂,1.0,,1,[],https://twitter.com/jjaramilloblt/status/1467301973322088450,"@Davivienda llamando un sábado a las 08:12 pm es una falta de respeto,  @Asobancaria @DefensoriaCol @CGR_Colombia creo q independiente de lo que se deba, al menos deben guardar un respeto mínimo al descanso de la gente, o será que tienen bancos abiertos a esta hora para abonarles?  ",[],,0,[],0,"['@davivienda', '@asobancaria', '@defensoriacol', '@cgr_colombia']",4,[],0,[],0,1 star,0.6406620740890503
242,Banco Davivienda,@davivienda,2021-12-05T22:54:56.000Z,"Banco Davivienda
@Davivienda
·
5 dic.","En respuesta a 
@deibyfandino
Buenas tardes, Sr. Deiby. Lamentamos este tipo de inconvenientes. Por favor escribanos a través de mensaje privado para validar su caso. Quedamos atentos.",,,,,[],https://twitter.com/Davivienda/status/1467628584525185026,"En respuesta a  @deibyfandino Buenas tardes, Sr. Deiby. Lamentamos este tipo de inconvenientes. Por favor escribanos a través de mensaje privado para validar su caso. Quedamos atentos.",[],,0,[],0,['@deibyfandino'],1,[],0,[],0,1 star,0.2754828929901123
